0.0f    0.0f     -2500.0f     0.0f    0.0f     0.0f  10000.0f
0.0f    2500.0f      0.0f     1.0f    0.0f     0.0f  10000.0f
0.0f   -2500.0f      0.0f    -2.0f    0.0f     0.0f  10000.0f
0.0f    2500.0f      0.0f     1.0f    0.0f     0.0f  10000.0f
0.0f   -2500.0f      0.0f    -2.0f    0.0f     0.0f  10000.0f
0.0f    2500.0f      0.0f     1.0f    0.0f     0.0f  10000.0f
0.0f   -2500.0f      0.0f    -2.0f    0.0f     0.0f  10000.0f
0.0f    2500.0f      0.0f     1.0f    0.0f     0.0f  10000.0f
0.0f   -2500.0f      0.0f    -2.0f    0.0f     0.0f  10000.0f
0.0f    2500.0f      0.0f     1.0f    0.0f     0.0f  10000.0f
0.0f   -2500.0f      0.0f    -2.0f    0.0f     0.0f  10000.0f
0.0f    2500.0f      0.0f     1.0f    0.0f     0.0f  10000.0f
0.0f   -2500.0f      0.0f    -2.0f    0.0f     0.0f  10000.0f
0.0f    2500.0f      0.0f     1.0f    0.0f     0.0f  10000.0f
0.0f   -2500.0f      0.0f    -2.0f    0.0f     0.0f  10000.0f
0.0f    2500.0f      0.0f     1.0f    0.0f     0.0f  10000.0f
0.0f   -2500.0f      0.0f    -2.0f    0.0f     0.0f  10000.0f
0.0f    2500.0f      0.0f     1.0f    0.0f     0.0f  10000.0f
0.0f   -2500.0f      0.0f    -2.0f    0.0f     0.0f  10000.0f
0.0f    2500.0f      0.0f     1.0f    0.0f     0.0f  10000.0f
0.0f   -2500.0f      0.0f    -2.0f    0.0f     0.0f  10000.0f
0.0f    2500.0f      0.0f     1.0f    0.0f     0.0f  10000.0f
0.0f   -2500.0f      0.0f    -2.0f    0.0f     0.0f  10000.0f
0.0f    2500.0f      0.0f     1.0f    0.0f     0.0f  10000.0f
0.0f   -2500.0f      0.0f    -2.0f    0.0f     0.0f  10000.0f
